Topic,Problem,Name,Note,Difficulty,Done?,Unnamed: 5,Unnamed: 6
2 Pointers,https://cses.fi/problemset/task/1660,Sum of Two Values,Introduction,2,False,,
2 Pointers,https://cses.fi/problemset/task/2428,Subarray Distinct Values,frequency table,2,False,,https://codeforces.com/contest/886/problem/D
2 Pointers,https://programming.in.th/tasks/toi11_cannon,Cannon,-,3,False,,
2 Pointers,https://codeforces.com/contest/702/problem/C,Cellular Network,Binary Search,3,False,,
2 Pointers,https://cses.fi/problemset/task/1641/,Sum of Three Values,sum of 3 values,3,False,,
2 Pointers,https://oj.uz/problem/view/BOI24_drivers,Drivers,DSU,4,False,,
Adhoc,https://programming.in.th/tasks/1012,Sequence of Numbers,-,1,False,,
Adhoc,https://programming.in.th/tasks/0002,Hello World,Basic,1,False,,
Adhoc,https://programming.in.th/tasks/toi8_fighter,Fighter,-,2,False,,
Adhoc,https://programming.in.th/tasks/toi15_medal,Medal,-,2,False,,
Adhoc,https://cses.fi/problemset/task/1631/,Reading Books,proof,2,False,,
Adhoc,https://oj.uz/problem/view/JOI14_joioji,Joioji,map,3,False,,
Adhoc,https://programming.in.th/tasks/1002,Roman Numbers,roman numbers,3,False,,
Adhoc,https://oj.uz/problem/view/JOI17_foehn_phenomena,Foehn Phenomena,-,3,,,
Adhoc,https://oj.uz/problem/view/NOI23_topical,Topical,-,4,False,,
Alien Trick,https://oj.uz/problem/view/NOI19_feast,Feast,,5,False,,
Alien Trick,https://usaco.org/index.php?page=viewproblem2&cpid=697,Landscaping,,5,False,,
Alien Trick,https://codeforces.com/contest/1279/problem/F,New Year and Handle,,5,False,,
Alien Trick,https://oj.uz/problem/view/IOI16_aliens,Aliens,,5,False,,
Basic,https://cses.fi/problemset/task/1069,Weird Algorithm,-,1,False,,
Basic,https://programming.in.th/tasks/0029,Pattern,-,1,False,,
Basic,https://programming.in.th/tasks/0031,Multiplication Table,-,1,False,,
Basic,https://programming.in.th/tasks/0022,Basic Calculation,-,2,False,,
Bellman-Ford,https://cses.fi/problemset/task/1673,High Score,-,3,False,,
Bellman-Ford,https://cses.fi/problemset/task/1197,Cycle Finding,-,4,False,,
Binary Lifting,https://cses.fi/problemset/task/1687,Company Queries I,Introduction,3,False,,
Binary Lifting,https://cses.fi/problemset/task/1750,Planets Queries I,Functional Graph,3,False,,
Binary Lifting,https://programming.in.th/tasks/tumso16_ant,Ant,"LCA, Weighted",4,False,,
Binary Lifting,https://cses.fi/problemset/task/1135,Tree Distances I,LCA,4,False,,
Binary Lifting,https://cses.fi/problemset/task/1688,Company Queries II,LCA,4,False,,
Binary Lifting,https://codeforces.com/problemset/problem/609/E,Minimum Spanning Tree,second mst,5,False,,
Binary Search,https://cses.fi/problemset/task/1640,Binary Search,-,2,False,,
Binary Search,https://programming.in.th/tasks/toi11_labor,Labor,"Introduction, bsoa",3,False,,
Binary Search,https://codeforces.com/contest/1201/problem/C,Maximum Split,bsoa,3,False,,
Binary Search,https://cses.fi/problemset/task/1085,Array Division,"array division, greedy, bsoa",3,False,,
