Topic,Problem,Note,Difficulty,Done?,,
2 Pointers,https://cses.fi/problemset/task/1660,Introduction,2,FALSE,,
2 Pointers,https://cses.fi/problemset/task/2428,frequency table,2,FALSE,,https://codeforces.com/contest/886/problem/D
2 Pointers,https://programming.in.th/tasks/toi11_cannon,-,3,FALSE,,
2 Pointers,https://codeforces.com/contest/702/problem/C,Binary Search,3,FALSE,,
2 Pointers,https://cses.fi/problemset/task/1641/,sum of 3 values,3,FALSE,,
2 Pointers,https://oj.uz/problem/view/BOI24_drivers,DSU,4,FALSE,,
Adhoc,https://programming.in.th/tasks/1012,-,1,FALSE,,
Adhoc,https://programming.in.th/tasks/0002,Basic,1,FALSE,,
Adhoc,https://programming.in.th/tasks/toi8_fighter,-,2,FALSE,,
Adhoc,https://programming.in.th/tasks/toi15_medal,-,2,FALSE,,
Adhoc,https://cses.fi/problemset/task/1631/,proof,2,FALSE,,
Adhoc,https://oj.uz/problem/view/JOI14_joioji,map,3,FALSE,,
Adhoc,https://programming.in.th/tasks/1002,roman numbers,3,FALSE,,
Adhoc,https://oj.uz/problem/view/JOI17_foehn_phenomena,-,3,,,
Adhoc,https://oj.uz/problem/view/NOI23_topical,-,4,FALSE,,
Alien Trick,https://oj.uz/problem/view/NOI19_feast,,5,FALSE,,
Alien Trick,https://usaco.org/index.php?page=viewproblem2&cpid=697,,5,FALSE,,
Alien Trick,https://codeforces.com/contest/1279/problem/F,,5,FALSE,,
Alien Trick,https://oj.uz/problem/view/IOI16_aliens,,5,FALSE,,
Basic,https://cses.fi/problemset/task/1069,-,1,FALSE,,
Basic,https://programming.in.th/tasks/0029,-,1,FALSE,,
Basic,https://programming.in.th/tasks/0031,-,1,FALSE,,
Basic,https://programming.in.th/tasks/0022,-,2,FALSE,,
Bellman-Ford,https://cses.fi/problemset/task/1673,-,3,FALSE,,
Bellman-Ford,https://cses.fi/problemset/task/1197,-,4,FALSE,,
Binary Lifting,https://cses.fi/problemset/task/1687,Introduction,3,FALSE,,
Binary Lifting,https://cses.fi/problemset/task/1750,Functional Graph,3,FALSE,,
Binary Lifting,https://programming.in.th/tasks/tumso16_ant,"LCA, Weighted",4,FALSE,,
Binary Lifting,https://cses.fi/problemset/task/1135,LCA,4,FALSE,,
Binary Lifting,https://cses.fi/problemset/task/1688,LCA,4,FALSE,,
Binary Lifting,https://codeforces.com/problemset/problem/609/E,second mst,5,FALSE,,
Binary Search,https://cses.fi/problemset/task/1640,-,2,FALSE,,
Binary Search,https://programming.in.th/tasks/toi11_labor,"Introduction, bsoa",3,FALSE,,
Binary Search,https://codeforces.com/contest/1201/problem/C,bsoa,3,FALSE,,
Binary Search,https://cses.fi/problemset/task/1085,"array division, greedy, bsoa",3,FALSE,,
Binary Search,https://programming.in.th/tasks/codecube_181,bsoa,3,FALSE,,
